belongs_to_collection;budget;first_genre;other_genres;original_language;overview;popularity;company;country;release_date;revenue;runtime;spoken_languages;tagline;title;vote_average;votecount;keywords
;11000000;Horror;Drama Science Fiction ;ko;Gang-du is a dim-witted man working at his fathers tiny snack bar near the Han River. One day  Gang-dus one and only daughter Hyun-seo comes back from school irritated. She is angry at her uncle  Nam-il  who visited her school as her guardian shamelessly drunk. Ignoring her fathers excuses for Nam-il  Hyun-seo is soon engrossed in her aunt Nam-joos archery tournament on TV. Meanwhile  outside of the snack bar  people are fascinated by an unidentified object hanging onto a bridge. In an instant  the object reveals itself as a terrifying creature turning the riverbank into a gruesome sea of blood­Ý Amid the chaos  Hyun-seo is helplessly snatched up by the creature right before Gang-dus eyes. These unforeseen circumstances render the government powerless to act. But receiving a call of help from Hyun-seo  the once-ordinary citizen Gang-du and his family are thrust into a battle with the monster to rescue their beloved Hyun-seo.;6.917;Cineclick Asia;South Korea;2006-07-27;88489643;119;ko;Monsters are real.;The Host;6.8;795;river monster mobile phone bravery archer daughter sewerage pollution formaldehyde snack bar family 
Loro Collection;0;Drama;;it;Loro  in two parts  is a period movie that chronicles  as a fiction story  events likely happened in Italy (or even made up) between 2006 and 2010.  Loro wants to suggest in portraits and glimps  through a composite constellation of characters  a moment in history  now definitively ended  which can be described in a very summary picture of the events as amoral  decadent but extraordinarily alive.  Additionally  Loro wishes to tell the story of some Italians  fresh and ancient people at the same time: souls from a modern imaginary Purgatory who  moved by heterogeneous intents like ambition  admiration  affection  curiosity  personal interests  establish to try and orbit around the walking Paradise that is the man named Silvio Berlusconi.;7.347;Universal Pictures;France;2018-04-24;0;104;it;;Loro 1;6.8;249;italy politics sex trafficking political corruption berlusconi drug culture 
Now You See Me Collection;90000000;Action;Comedy Thriller ;en;One year after outwitting the FBI and winning the public?s adulation with their mind-bending spectacles  the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.;49.438;Summit Entertainment;Canada;2016-06-02;334901337;129;zh;You Havent Seen Anything Yet;Now You See Me 2;6.8;5732;magic secret society illusion vigilante revenge heist on the run illusionism macau china magician 
;10000000;Music;Adventure Fantasy Comedy Family ;en;An eccentric professor invents wacky machinery  but cant seem to make ends meet. When he invents a revolutionary car  a foreign government becomes interested in it  and resorts to skulduggery to get their hands on it.;5.399;United Artists;United Kingdom;1968-12-17;0;144;en;The most fantasmagorical musical entertainment in the history of everything!;Chitty Chitty Bang Bang;6.8;277;flying car inventor oldtimer 
;250000;Thriller;Adventure Drama ;en;Amidst a nuclear war  a plane carrying a group of schoolboys crash lands on a deserted island. With no adult survivors  the boys are forced to fend for themselves. At first they cooperate  but when the they split into two separate camps -- one led by the pragmatic Ralph and the other by militaristic Jack -- their society falls into disarray  leading to a disturbing examination of human nature and a chilling conclusion.;6.286;Two Arts Ltd.;United Kingdom;1963-08-13;0;92;en;Evil is inherent in the human mind  whatever innocence may cloak it...;Lord of the Flies;6.8;246;child murderer survival teenage boy deserted island dead children south sea island flogging degeneration swine innocence lost whipping asthmatic aeronautics rite 
;135000000;Fantasy;Comedy Animation Science Fiction Family ;en;When Earth is taken over by the overly-confident Boov  an alien race in search of a new place to call home  all humans are promptly relocated  while all Boov get busy reorganizing the planet. But when one resourceful girl  Tip  manages to avoid capture  she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there?s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.;8.331;DreamWorks Animation;United States of America;2015-03-18;368871007;94;en;Worlds Collide;Home;6.8;2088;friendship spaceship space alien alien invasion alien friendship awful leader taking resposibility 
;11000000;Thriller;Action Drama War ;en;A young British soldier must find his way back to safety after his unit accidentally abandons him during a riot in the streets of Belfast.;6.372;British Film Institute (BFI);United Kingdom;2014-10-10;3200000;99;en;;71;6.8;566;1970s riot war british survival soldier ira (irish republican army) explosion violence ireland combat belfast street abandoned 
;6000000;Crime;Drama Thriller Comedy Mystery ;en;Tells the seemingly random yet vitally connected story of a set of incidents that all converge one evening at 11:14pm. The story follows the chain of events of five different characters and five different storylines that all converge to tell the story of murder and deceit.;6.22;Media 8 Entertainment;Canada;2003-05-16;0;86;en;Fate can change in seconds.;11:14;6.8;317;alcohol sex robbery secret gun ambulance vandalism chase arrest police cops murder crash connected 
;0;Comedy;;en;Doug and Abi  and their three children travel to the Scottish Highlands for Dougs father Gordies birthday party. Its soon clear that when it comes to keeping a secret under wraps from the rest of the family  their children are their biggest liability...;4.81;Lionsgate;United Kingdom;2014-09-26;1289998;95;en;;What We Did on Our Holiday;6.8;250;vacation family 
;3000000;Horror;;en;A research team finds a mysterious cylinder in a deserted church. If opened  it could mean the end of the world.;9.407;Universal Pictures;United States of America;1987-10-23;14182492;101;la;Before man walked the earth...it slept for centuries. It is evil. It is real. It is awakening.;Prince of Darkness;6.8;296;secret obsession dream secret society research time travel anti-christ artifact priest satan los angeles church demon satanic cult 
;16000000;Drama;;en;It tells the story of a struggling man who  after flying home to L.A. for the funeral of his estranged record-producer father  discovers that the will stipulates that he must deliver $150 000 in cash to a 30-year-old alcoholic sister he never knew existed  and her troubled 12-year-old son.;6.034;Touchstone Pictures;United States of America;2012-06-29;12434778;114;en;Find your family.;People Like Us;6.8;315;duringcreditsstinger 
;0;Comedy;Drama ;en;Alex Truelove is on a quest to lose his virginity  an event eagerly awaited by his patient girlfriend and cheered on with welcome advice by his rowdy friends. But Alex  a super gregarious dude  is oddly unmotivated. A magical house party throws Alex into the presence of Elliot  a hunky college guy  who pegs Alex as gay and flirts hard. Alex is taken aback but after a series of setbacks on the girlfriend front he takes the plunge and learns some interesting new facts about himself.;11.619;Mighty Engine;United States of America;2018-04-16;0;99;en;Love can be confusing;Alex Strangelove;6.8;669;gay girlfriend high school homosexuality teen movie teen comedy lgbt losing virginity 
;102000000;Drama;Science Fiction ;en;A set of six nested stories spanning time between the 19th century and a distant post-apocalyptic future. Cloud Atlas explores how the actions and consequences of individual lives impact one another throughout the past  the present and the future. Action  mystery and romance weave through the story as one soul is shaped from a killer into a hero and a single act of kindness ripples across centuries to inspire a revolution in the distant future.  Based on the award winning novel by David Mitchell. Directed by Tom Tykwer and the Wachowskis.;8.644;Cloud Atlas Productions;Germany;2012-10-26;130482868;172;en;Everything is Connected;Cloud Atlas;6.8;4028;clone future dystopia ensemble cast duringcreditsstinger century woman director 1930s trans director 
;6000000;Comedy;Drama Romance ;en;Emma Woodhouse is a congenial young lady who delights in meddling in other people?s affairs. She is perpetually trying to unite men and women who are utterly wrong for each other. Despite her interest in romance  Emma is clueless about her own feelings  and her relationship with gentle Mr. Knightly.;4.889;Miramax;United States of America;1996-08-02;22231658;121;en;Cupid is armed and dangerous!;Emma;6.8;259;based on novel or book picnic matchmaking english countryside 19th century 
Were the Millers Collection;37000000;Comedy;Crime ;en;A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.;11.387;Vincent Newman Entertainment;United States of America;2013-08-07;269994119;110;en;-If anyone asks.;Were the Millers;6.8;4539;mexico denver  colorado drug smuggle police gang drugs family strip tease road movie 
;10735974;Comedy;;fr;How to become a man when your mother and your closed circle have decided otherwise? This is the challenge Guillaume took up. The film recounts Guillaumes tragicomic battle from the young age of eight  as he adopts the role of a girl then of a homosexual... until  aged 30  he meets the woman who  after his mother  will become the other woman in his life. Beyond this story of a heterosexual coming-out  the film tells the tale of an actor who never stopped loving women  maybe even a little too much.;4.659;LGM Productions;France;2013-11-20;0;85;es;;Me  Myself and Mum;6.8;369;
;40000000;Drama;Science Fiction ;en;A soldier from Earth crashlands on an alien world after sustaining battle damage. Eventually he encounters another survivor  but from the enemy species he was fighting they band together to survive on this hostile world. In the end the human finds himself caring for his enemy in a completely unexpected way.;8.271;Bavaria Film;United States of America;1985-12-12;12303411;108;en;Enemies because they were taught to be. Survivors because they had to be.;Enemy Mine;6.8;359;narration slavery space battle future complicated birth survivor friendship war stranded alien outer space racism planet slave reptilian severed ear man eating monster pepsi 
;32000000;Action;Drama History War ;en;Based on a true story  during World War II  four Jewish brothers escape their Nazi-occupied homeland of West Belarus in Poland and join the Soviet partisans to combat the Nazis. The brothers begin the rescue of roughly 1 200 Jews still trapped in the ghettos of Poland.;5.42;Paramount Vantage;United States of America;2008-12-31;51155219;137;de;Freedom begins with an act of defiance.;Defiance;6.8;825;sibling relationship fight world war ii brother survivor forest jewish camp partisan 
;1000000;Drama;;en;A young woman joins the military to be part of something bigger than herself and her small-town roots. Instead  she ends up as a new guard at Guantanamo Bay  where her mission is far from black and white. Surrounded by hostile jihadists and aggressive squadmates  she strikes up an unusual friendship with one of the detainees.;6.985;Young Gang;United States of America;2014-10-17;59744;117;en;Connection takes courage;Camp X-Ray;6.8;560;guantanamo bay female soldier female protagonist american abroad military police military unlikely friendship detainee 
;7000000;Comedy;Crime Drama ;en;Upon his release from a mental hospital following a nervous breakdown  the directionless Anthony joins his friend Dignan  who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss  the (supposedly) legendary Mr. Henry.;4.767;Boyle-Taylor Productions;United States of America;1996-02-21;560069;91;es;Theyre not really criminals  but everyones got to have a dream.;Bottle Rocket;6.8;409;sibling relationship robbery burglar language barrier motel independent film psychiatric hospital maid theft nervous breakdown escapade laundry room 
;45000000;Thriller;Mystery ;en;A writer stumbles upon a long-hidden secret when he agrees to help former British Prime Minister Adam Lang complete his memoirs on a remote island after the politicians assistant drowns in a mysterious accident. In director Roman Polanskis tense drama  the author realizes that his discovery threatens some very powerful people who will do anything to ensure that certain episodes from Langs past remain buried.;6.049;R.P. Productions;France;2010-02-12;60222298;128;en;Read between the lies.;The Ghost Writer;6.8;1008;london england cia based on novel or book war crimes massachusetts tony blair author marthas vineyard 
;4670099;Thriller;Drama ;es;While Carlos  a banking executive  takes his two kids to school in his car  he gets a phone call telling him that there is a bomb under the seats and he must to gather a large amount of money otherwise  his car will blow up.;5.746;Vaca Films;France;2015-09-21;0;101;es;Drive or die;Retribution;6.8;186;car bomb money car phone retribution police siege 
Anchorman Collection;26000000;Comedy;;en;Its the 1970s  and San Diego super-sexist anchorman Ron Burgundy is the top dog in local TV  but thats all about to change when ambitious reporter Veronica Corningstone arrives as a new employee at his station.;10.055;Apatow Productions;United States of America;2004-07-09;90574188;95;en;They bring you the news so you dont have to get it yourself.;Anchorman: The Legend of Ron Burgundy;6.8;2097;journalism sexism ladder panda tv show in film mustache misogynist newsroom teleprompter gang warfare aftercreditsstinger duringcreditsstinger news spoof 
;25000000;Drama;Romance ;en;George Clooney plays the dry cynical character of Ryan Bingham  an executive who specializes in downsizing. Ryan lives out of his suitcase  traveling the country for the sole purpose terminating unwanted employees day after day. Just as Ryan is about to reach his life-long goal of the ten million mile frequent flyer mark some major changes come his way. Changes that threaten to crack the cold heartless exterior that is Ryan Bingham.;8.593;Right of Way Films;United States of America;2009-09-05;163670000;110;en;The story of a man ready to make a connection.;Up in the Air;6.8;1804;suitcase business omaha las vegas on the road downsizing cross country videoconferencing job termination business trip duringcreditsstinger 
;0;Adventure;Animation Family Comedy Fantasy ;en;Scrooge McDuck  his dimwitted pilot Launch Pad  and his nephews Huey  Dewey and Louie  with Webby  arrive in Egypt where Scrooge finds the lost treasure of Collie Baba  unbeknownst to Scrooge  a magic lamp was included inside the treasure  so while the nephews have fun with the genie  they all have no idea that theyre being stalked by a power hungry sorcerer named Murlock and his dimwitted thief.;5.74;Walt Disney Television Animation;France;1990-08-03;18115724;74;en;Scrooge McDucks First Full-Length Animated Feature Film.;DuckTales: The Movie - Treasure of the Lost Lamp;6.8;341;egypt pyramid wonderlamp treasure hunt 
;0;Comedy;;en;Even though hes 35  Alex acts more like hes 13  spending his days as the worlds oldest video game tester and his evenings developing the next big Xbox game. But he gets kicked out of his apartment and is forced to move in with his grandmother.;4.682;Happy Madison Productions;United States of America;2006-01-06;6538177;94;en;A movie that proves youre never too old to come of age.;Grandmas Boy;6.8;299;video game grandparent grandchild relationship man child stoner game tester 
;0;Crime;Thriller ;it;Based on the bestselling novel by Donato Carrisi  THE GIRL IN THE FOG is a gripping and chilling thriller that brings us to a hazy mountain village where enigmatic Detective Vogel is investigating on the sudden disappearance of fifteen-year-old Anna Lou. But with the case at the heart of a media storm  the fine line between the police and criminals begins to blur and soon everyone becomes a suspect.;9.335;Medusa Film;Germany;2017-10-26;0;128;it;;The Girl in the Fog;6.8;268;based on novel or book alpine village 
;0;Drama;;en;Dane Jensen is a driven  Chicago-based headhunter  working at a cut-throat job placement firm. When Danes boss announces his retirement  he pits Dane against Lynn Vogel  Danes equally driven but polar-opposite rival at the firm  in a battle for control over the company.;7.062;Ascot Elite Home Entertainment;United States of America;2017-05-18;0;108;en;What are you working for?;A Family Man;6.8;200;parent child relationship father death headhunter 
;18000000;Horror;Science Fiction Thriller ;en;After a violent storm  a dense cloud of mist envelops a small Maine town  trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives  and worse  their sanity.;8.756;Darkwoods Productions;United States of America;2007-11-21;57096190;126;en;Belief divides them  mystery surrounds them  but fear changes everything.;The Mist;6.8;2190;monster supermarket fight artist fog bible spider faith prayer survival giant monster anger thunderstorm father son relationship 
;25000000;Drama;;en;In a last-ditch effort to save his career  sports agent JB Bernstein (Jon Hamm) dreams up a wild game plan to find Major League Baseball?s next great pitcher from a pool of cricket players in India. He soon discovers two young men who can throw a fastball but know nothing about the game of baseball. Or America. It?s an incredible and touching journey that will change them all ? especially JB  who learns valuable lessons about teamwork  commitment and family.;5.751;Walt Disney Pictures;United States of America;2014-05-09;38307627;124;hi;Sometimes to win  sometimes you have to change the game;Million Dollar Arm;6.8;330;baseball sport duringcreditsstinger 
;12000000;Horror;Comedy Action Fantasy Science Fiction ;en;Count Dracula adjourns to Earth  accompanied by Frankensteins Monster  the Wolfman  the Mummy  and the Gillman. The uglies are in search of a powerful amulet that will grant them power to rule the world. Our heroes - the Monster Squad are the only ones daring to stand in their way.;5.733;TriStar Pictures;United States of America;1987-08-14;3769990;82;en;You know who to call when you have ghosts but who do you call when you have monsters?;The Monster Squad;6.8;194;mummy dracula wolfman sea monster frankensteins monster 
Pacific Rim Collection;180000000;Action;Science Fiction Adventure ;en;When legions of monstrous creatures  known as Kaiju  started rising from the sea  a war began that would take millions of lives and consume humanitys resources for years on end. To combat the giant Kaiju  a special type of weapon was devised: massive robots  called Jaegers  which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat  the forces defending mankind have no choice but to turn to two unlikely heroes?a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)?who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together  they stand as mankinds last hope against the mounting apocalypse.;13.561;Double Dare You Productions;Canada;2013-07-11;407602906;131;en;To Fight Monsters  We Created Monsters;Pacific Rim;6.8;6852;dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d 
;50100000;Romance;Comedy Crime Drama ;en;Nicky  a veteran con artist  takes a novice named Jess under his wing. While Nicky teaches Jess the tricks of the trade  the pair become romantically involved but  when Jess gets uncomfortably close  Nicky ends their relationship. Three years later  Nicky is in Buenos Aires working a very dangerous scheme when Jess -- now an accomplished femme fatale -- unexpectedly shows up. Her appearance throws Nicky for a loop at a time when he cannot afford to be off his game.;8.238;K&S Films;United States of America;2015-02-25;153962963;105;en;Never Drop The Con.;Focus;6.8;3653;seduction con man illusion femme fatale deception rivalry con artist illusionist 
;130000000;Adventure;Animation Mystery ;en;Intrepid young reporter  Tintin  and his loyal dog  Snowy  are thrust into a world of high adventure when they discover a ship carrying an explosive secret. As Tintin is drawn into a centuries-old mystery  Ivan Ivanovitch Sakharine suspects him of stealing a priceless treasure. Tintin and Snowy  with the help of salty  cantankerous Captain Haddock and bumbling detectives  Thompson and Thomson  travel half the world  one step ahead of their enemies  as Tintin endeavors to find the Unicorn  a sunken ship that may hold a vast fortune  but also an ancient curse.;10.244;Paramount;New Zealand;2011-10-25;371940071;107;en;This year  discover how far adventure will take you.;The Adventures of Tintin;6.8;2878;riddle captain treasure liquor treasure hunt sunken treasure plot reporter 3d 
;28000000;Comedy;Family Fantasy Horror ;en;After 300 years of slumber  three sister witches are accidentally resurrected in Salem on Halloween night  and it us up to three kids and their newfound feline friend to put an end to the witches reign of terror once and for all.;8.775;Walt Disney Pictures;United States of America;1993-07-16;39514713;96;en;Its just a bunch of Hocus Pocus.;Hocus Pocus;6.8;897;sibling relationship witch magic virgin halloween resurrection undead potion salem trick or treating spellcasting talking cat time skip grimoire 
;65000000;Drama;;en;When a plane crash claims the lives of members of the Marshall University football team and some of its fans  the teams new coach and his surviving players try to keep the football program alive.;5.627;Wonderland Sound and Vision;United States of America;2006-12-12;43545364;124;en;From the ashes we rose.;We Are Marshall;6.8;274;american football 1970s trainer college sport 
;4000000;Comedy;;en;Will Proudfoot (Bill Milner) is looking for an escape from his familys stifling home life when he encounters Lee Carter (Will Poulter)  the school bully. Armed with a video camera and a copy of Rambo: First Blood  Lee plans to make cinematic history by filming his own action-packed video epic. Together  these two newfound friends-turned-budding-filmmakers quickly discover that their imaginative ? and sometimes mishap-filled ? cinematic adventure has begun to take on a life of its own!;4.265;Hammer & Tongs;Germany;2007-01-22;6870249;96;en;Make Believe. Not War.;Son of Rambow;6.8;201;film in film independent film single mother exchange student 
;15000000;Comedy;Crime ;en;A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangsters beloved Shih Tzu.;6.915;CBS Films;United Kingdom;2012-09-07;33035736;110;en;They Wont Take Any Shih Tzu.;Seven Psychopaths;6.8;1839;suicide alcohol sex screenwriter underworld fight kidnapping gangster party murder scam los angeles explosion criminal shih tzu struggling neo-noir 
;2000000;Comedy;;en;When a bumbling New Yorker is dumped by his activist girlfriend  he travels to a tiny Latin American nation and becomes involved in its latest rebellion.;4.956;Jack Rollins & Charles H. Joffe Productions;United States of America;1971-04-28;11833696;82;yi;;Bananas;6.8;267;revolution political activism loser 
;39000000;Animation;Comedy Family ;en;When a car hits young Victors pet dog Sparky  Victor decides to bring him back to life the only way he knows how. But when the bolt-necked monster wreaks havoc and terror in the hearts of Victors neighbors  he has to convince them that Sparkys still the good  loyal friend he was.;7.491;Tim Burton Productions;United States of America;2012-10-04;35287788;87;en;The electrifying dog is back from beyond the grave;Frankenweenie;6.8;1456;shyness stop motion black and white retro dog animal death animal lover 
;33000000;Adventure;Drama Family ;en;A 12-year-old cartographer secretly leaves his familys ranch in Montana where he lives with his cowboy father and scientist mother and travels across the country on board a freight train to receive an award at the Smithsonian Institute.;6.726;EpithŠte Films;Canada;2013-10-16;9494789;105;en;;The Young and Prodigious T.S. Spivet;6.8;336;train cartographer 
The Mask Collection;23000000;Romance;Comedy Crime Fantasy ;en;When timid bank clerk Stanley Ipkiss discovers a magical mask containing the spirit of the Norse god Loki  his entire life changes. While wearing the mask  Ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer Tina Carlyle. Unfortunately  under the masks influence  Ipkiss also robs a bank  which angers junior crime lord Dorian Tyrell  whose goons get blamed for the heist.;19.189;Dark Horse Entertainment;United States of America;1994-07-29;351583407;101;sv;From zero to hero.;The Mask;6.8;4371;dual identity bank mockery green balloon jail cell norse mythology 
Cars Collection;175000000;Adventure;Animation Comedy Family ;en;Blindsided by a new generation of blazing-fast racers  the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game  he will need the help of an eager young race technician with her own plan to win  inspiration from the late Fabulous Hudson Hornet  and a few unexpected turns. Proving that #95 isnt through yet will test the heart of a champion on Piston Cup Racing?s biggest stage!;14.902;Pixar;United States of America;2017-06-15;383925276;109;en;Its not over until lightning strikes.;Cars 3;6.8;2110;trainer sequel travel racing cgi anthropomorphism high tech cars 
;38000000;Comedy;Romance Drama ;en;After a distastrous first date for caterer Holly and network sports director Messer  all they have is common is a dislike for each other and their love for their goddaughter Sophie. But when they suddenly become all Sophie has in this world  Holly and Messer must set their differences aside. Juggling careers and social calendars  theyll have to find common ground while living under the same roof.;7.497;Josephson Entertainment;United States of America;2010-10-02;105610124;114;en;A comedy about taking it one step at a time.;Life As We Know It;6.8;1473;loss of loved one baby godmother romantic comedy parenthood orphan godfather co-parenting legal guardian 
;10000000;Comedy;;it;Checco is 39 and lived his entire life with his parents. He loves his job where he does nothing the all day until something happens that will change his behavior and maybe his life..;8.914;;Italy;2016-01-01;0;86;it;;Quo vado?;6.8;989;
;1800000;Western;;en;Marshall Jed Cooper survives a hanging  vowing revenge on the lynch mob that left him dangling. To carry out his oath for vengeance  he returns to his former job as a lawman. Before long  hes caught up with the nine men on his hit list and starts dispensing his own brand of Wild West justice.;8.17;United Artists;United States of America;1968-07-31;6800000;114;en;The hanging was the best show in town. But they made two mistakes. They hung the wrong man and they didnt finish the job!;Hang em High;6.8;284;prison judge marshal death penalty oklahoma widow cattle drive hanging law man lynching search party 
;3000000;Horror;;fr;Four months after the death of her husband  a woman on the brink of motherhood is tormented in her home by a strange woman who wants her unborn baby.;4.938;La Fabrique de Films;France;2007-06-13;0;79;fr;Terror comes calling.;Inside;6.8;267;baby suspense gore pregnant woman new french extremism 
;0;Action;Adventure Comedy Crime ;en;With the help of an irreverent young sidekick  a bank robber gets his old gang back together to organise a daring new heist.;4.701;Malpaso Productions;United States of America;1974-05-23;21700000;115;en;Thunderbolt? the man with the reputation. Lightfoot? the kid whos about to make one!;Thunderbolt and Lightfoot;6.8;163;friendship police outlaw road movie 
;0;Drama;Music ;en;After an accidental drug overdose  a talented teenage DJ goes to live with his estranged father in a small Army town  where he gets to the bottom of his own pain and learns empathy for others.;4.58;Strings of Films;United States of America;2015-05-08;0;112;en;;Bravetown;6.8;161;parent child relationship small town dance music grief teenager us military dj teen drama 
Independence Day Collection;75000000;Action;Adventure Science Fiction ;en;On July 2  a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped destroyer spacecraft that quickly lay waste to major cities around the planet. On July 3  the United States conducts a coordinated counterattack that fails. On July 4  a plan is devised to gain access to the interior of the alien mothership in space  in order to plant a nuclear missile.;14.588;Centropolis Entertainment;United States of America;1996-06-25;0;145;en;Earth. Take a good look. It might be your last.;Independence Day;6.8;4772;spacecraft patriotism countdown independence invasion war ufo extraterrestrial spaceship alien battle 
;100000;Drama;Science Fiction ;en;On the night of the discovery of a duplicate Earth in the Solar system  an ambitious young student and an accomplished composer cross paths in a tragic accident.;5.829;Artists Public Domain;United States of America;2011-07-22;1776935;92;en;;Another Earth;6.8;757;earth tragedy janitor planet duplicate cosmology ego solar system 
;140000000;History;Romance War Drama ;en;The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japans devastating attack on Pearl Harbor on Dec. 7  1941.;8.812;Jerry Bruckheimer Films;United States of America;2001-05-21;449220945;183;fr;It takes a moment to change history. It takes love to change lives.;Pearl Harbor;6.8;2886;nurse patriotism hawaii world war ii pilot pearl harbor u.s. air force airplane war army love pin-up 
;5000000;Horror;Crime Thriller ;en;A punk rock band becomes trapped in a secluded venue after finding a scene of violence. For what they saw  the band themselves become targets of violence from a gang of white power skinheads  who want to eliminate all evidence of the crime.;6.82;filmscience;United States of America;2016-04-15;3220371;95;en;One way in. No way out.;Green Room;6.8;1082;neo nazism skinhead heroin music cover-up murder suspense swastika pitbull witness to murder punk band killer dog feedback mic stand 
Son of Batman Collection;0;Animation;Action Adventure ;en;Batman learns that he has a violent  unruly pre-teen son with Talia al Ghul named Damian Wayne who is secretly being raised by Ras al Ghul and the League of Assassins. When Ras al Ghul apparently dies after a battle with Deathstroke  Batman must work to stop his long-lost son from taking revenge and guiding him to a righteous path  in addition to the chance for the pair to truly acknowledging each other as family.;5.242;DC Comics;United States of America;2014-04-20;0;74;en;Vengeance runs in the blood.;Son of Batman;6.8;430;dc comics superhero based on comic robin super power father son reunion 
;1800000;Drama;Comedy Romance Family ;en;Nerdy high schooler Ronald Miller rescues cheerleader Cindy Mancini from parental punishment after she accidentally destroys her mothers designer clothes. Ronald agrees to pay for the $1 000 outfit on one condition: that she will act as though theyre a couple for an entire month. As the days pass  however  Cindy grows fond of Ronald  making him popular. But when Ronalds former best friend gets left behind  he realizes that social success isnt everything.;4.577;Silver Screen Partners II;United States of America;1987-08-14;31623833;94;en;Ronald is making an investment in his senior year. Hes hiring the prettiest cheerleader in school to be his girlfriend.;Cant Buy Me Love;6.8;247;
;39200000;Action;Science Fiction Drama ;ko;In a future where a failed global-warming experiment kills off most life on the planet  a class system evolves aboard the Snowpiercer  a train that travels around the globe via a perpetual-motion engine.;8.265;CJ Entertainment;South Korea;2013-08-01;86758912;126;en;AD 2031  the passengers in the train are the only survivors on Earth.;Snowpiercer;6.8;4124;child labour parent child relationship brothel winter allegory bridge post-apocalyptic dystopia hijacking of train based on comic dam rifle pregnant train violence based on graphic novel guilt revolt duplicity tunnel social class population control perpetual winter city ruin 
Hotel Transylvania Collection;80000000;Family;Fantasy Comedy Animation ;en;Dracula  Mavis  Johnny and the rest of the Drac Pack take a vacation on a luxury Monster Cruise Ship  where Dracula falls in love with the ship?s captain  Ericka  who?s secretly a descendant of Abraham Van Helsing  the notorious monster slayer.;36.836;Sony Pictures Animation;United States of America;2018-06-28;100176000;97;en;;Hotel Transylvania 3: Summer Vacation;6.8;1015;monster vampire dracula cruise ship 
;60000000;Thriller;Drama ;en;Handsome  unflappable U.S. Congressman Stephen Collins is the future of his political party: an honorable appointee who serves as the chairman of a committee overseeing defense spending. All eyes are upon the rising star to be his partys contender for the upcoming presidential race. Until his research assistant/mistress is brutally murdered and buried secrets come tumbling out.;7.625;Andell Entertainment;France;2009-04-17;87784194;127;en;Find The Truth;State of Play;6.8;721;corruption assassination detective journalist assassin newspaper congress editor-in-chief conspiracy of murder politics election campaign government murder blog reporter investigative journalism 
Westworld Collection;0;Action;Adventure Drama Horror Science Fiction Thriller Western ;en;In a futuristic resort  wealthy patrons can visit recreations of different time periods and experience their wildest fantasies with life-like robots. But when Richard Benjamin opts for the wild west  he gets more than he bargained for when a gunslinger robot goes berserk.;8.132;Metro-Goldwyn-Mayer;United States of America;1973-11-21;0;88;en;Westworld ...where robot men and women are programmed to serve you for ...Romance ...Violence ...Anything;Westworld;6.8;519;man vs machine android saloon future vacation robot as menace survival cult film theme park 
;140000000;Adventure;Comedy Family ;en;Three wealthy childrens parents are killed in a fire. When they are sent to a distant relative  they find out that he is plotting to kill them and seize their fortune.  This movie is extremely alarming  an expression which here means a thrilling misadventure involving three ingenious orphans and a villainous actor named Count Olaf (Jim Carrey) who wants their enormous fortune.  It includes a suspicious fire  delicious pasta  Jim Carrey  poorly behaved looches  Billy Connolly  an incredibly deadly viper  Meryl Streep  and the voice of an imposter named Jude Law.;9.17;Paramount;Germany;2004-12-16;209073645;108;en;Mishaps. Misadventures. Mayhem. Oh Joy.;Lemony Snickets A Series of Unfortunate Events;6.8;2544;orphan kids orphan siblings unfortunate based on young adult novel 
